lsoa11cd,Household Composition: All categories: Household composition; measures: Value,Household Composition: One person household: Aged 65 and over; measures: Value,Household Composition: One family only: Lone parent; measures: Value,Household Composition: No adults in employment in household: With dependent children; measures: Value
E01011264,565,91,62,13
E01011265,748,168,52,10
E01011266,893,52,47,6
E01011267,666,116,80,23
E01011268,615,76,95,37
E01011269,735,133,69,16
E01011270,649,66,22,7
E01011271,903,103,74,10
E01011272,571,39,52,5
E01011273,700,87,52,22
E01011274,680,128,87,37
E01011275,602,85,60,14
E01011276,611,66,54,17
E01011277,607,39,65,9
E01011278,716,91,57,16
E01011279,573,86,42,8
E01011280,715,59,58,6
E01011281,824,64,103,66
E01011282,610,72,90,31
E01011283,538,55,109,68
E01011284,878,50,115,68
E01011286,538,50,43,14
E01011287,599,75,60,17
E01011292,823,148,107,60
E01011293,743,68,105,58
E01011294,462,55,84,45
E01011295,686,39,98,41
E01011296,771,140,50,8
E01011297,632,71,42,10
E01011298,675,89,92,37
E01011299,947,87,83,17
E01011300,614,83,90,28
E01011301,547,45,52,12
E01011302,619,81,35,3
E01011303,486,69,54,16
E01011304,699,131,80,25
E01011305,634,52,54,11
E01011306,544,49,52,4
E01011307,610,63,90,36
E01011308,655,107,65,19
E01011309,654,81,55,13
E01011310,716,116,34,7
E01011311,463,40,34,9
E01011312,669,39,101,85
E01011313,649,60,98,49
E01011314,674,81,74,30
E01011315,646,79,69,32
E01011316,720,41,104,70
E01011317,856,131,128,80
E01011318,637,51,152,78
E01011319,624,78,65,35
E01011320,679,75,74,34
E01011321,637,64,128,75
E01011322,673,97,102,31
E01011323,576,123,53,11
E01011324,510,38,98,86
E01011325,653,58,73,33
E01011326,575,69,109,51
E01011327,624,55,78,24
E01011328,665,92,103,36
E01011329,662,72,60,6
E01011330,556,62,77,21
E01011331,591,104,55,14
E01011332,558,57,92,40
E01011333,559,63,74,27
E01011334,598,49,52,25
E01011335,792,79,100,33
E01011336,777,184,83,39
E01011337,469,26,126,95
E01011338,740,77,131,86
E01011339,823,113,118,52
E01011340,693,103,153,74
E01011341,637,83,102,36
E01011342,569,54,131,85
E01011343,807,91,90,30
E01011344,824,68,164,108
E01011345,627,106,128,55
E01011346,821,128,140,82
E01011347,776,59,180,120
E01011348,636,48,153,89
E01011349,962,159,104,57
E01011350,713,77,48,5
E01011351,878,103,48,6
E01011352,887,117,55,15
E01011353,822,70,64,4
E01011354,624,40,151,78
E01011355,576,77,114,43
E01011356,897,71,95,35
E01011357,880,101,183,100
E01011358,695,126,134,45
E01011359,745,51,105,40
E01011360,722,71,165,72
E01011361,1090,98,233,114
E01011362,974,105,94,40
E01011363,735,81,155,80
E01011364,785,69,112,67
E01011366,757,82,124,66
E01011368,611,38,85,62
E01011369,727,137,100,31
E01011370,698,43,58,37
E01011371,728,183,93,51
E01011372,521,33,74,68
E01011373,574,52,106,68
E01011374,595,45,79,47
E01011375,689,39,87,74
E01011376,623,77,30,6
E01011377,607,124,29,2
E01011378,685,74,82,44
E01011379,768,133,101,31
E01011380,679,96,42,12
E01011381,509,68,40,12
E01011382,662,121,44,4
E01011383,742,160,53,22
E01011384,660,88,74,20
E01011385,525,84,32,9
E01011386,621,85,35,6
E01011388,643,136,46,12
E01011390,612,101,80,25
E01011391,726,141,63,16
E01011392,643,93,56,18
E01011393,693,99,56,14
E01011394,497,72,41,6
E01011395,464,18,51,21
E01011396,800,103,84,19
E01011397,602,68,67,6
E01011398,498,33,41,8
E01011399,623,86,76,18
E01011400,597,84,63,14
E01011401,601,65,45,5
E01011402,813,154,41,13
E01011403,613,154,33,9
E01011404,522,54,38,5
E01011405,627,117,33,5
E01011406,590,92,49,6
E01011407,653,112,84,16
E01011408,735,177,46,6
E01011409,635,70,49,13
E01011410,616,95,40,3
E01011411,665,74,55,12
E01011412,624,114,42,3
E01011413,584,68,65,10
E01011414,623,69,31,5
E01011415,718,79,63,12
E01011416,606,65,74,12
E01011417,724,163,44,10
E01011418,612,59,48,6
E01011419,496,36,28,4
E01011420,624,143,27,3
E01011421,607,103,91,33
E01011422,495,21,57,45
E01011423,607,70,114,66
E01011424,516,32,106,73
E01011425,606,64,67,12
E01011426,493,38,63,64
E01011427,563,47,134,84
E01011428,601,39,66,52
E01011429,693,65,121,87
E01011430,451,26,72,70
E01011431,769,82,190,104
E01011432,571,35,108,72
E01011433,668,36,151,115
E01011434,612,30,106,81
E01011435,562,23,7,1
E01011440,611,68,13,3
E01011441,649,30,18,9
E01011442,543,18,15,7
E01011443,479,22,11,6
E01011444,586,16,11,18
E01011445,436,1,6,2
E01011446,465,5,15,9
E01011447,405,14,14,13
E01011448,460,21,39,26
E01011449,566,19,52,30
E01011450,523,49,74,35
E01011451,466,43,17,4
E01011452,616,53,27,2
E01011453,661,89,38,2
E01011454,669,68,42,6
E01011455,481,65,25,4
E01011456,728,95,40,6
E01011457,591,71,24,7
E01011458,556,66,26,2
E01011459,743,116,52,11
E01011460,655,84,67,19
E01011461,611,85,27,3
E01011462,699,97,97,32
E01011463,749,145,103,32
E01011464,821,68,49,5
E01011465,785,172,54,14
E01011466,654,96,100,42
E01011467,647,54,97,50
E01011468,743,108,120,61
E01011469,641,58,55,26
E01011470,607,80,71,38
E01011471,636,79,146,66
E01011472,700,121,129,73
E01011473,632,55,158,108
E01011474,641,83,114,70
E01011475,690,62,141,79
E01011476,497,72,108,50
E01011477,866,81,91,71
E01011478,752,64,60,24
E01011479,543,25,26,13
E01011480,624,75,33,13
E01011481,639,28,41,36
E01011482,820,68,62,28
E01011483,665,75,79,45
E01011484,671,94,132,66
E01011485,746,98,92,48
E01011488,666,68,65,30
E01011489,823,118,81,42
E01011490,1178,77,94,40
E01011491,608,80,120,53
E01011492,553,84,126,86
E01011493,644,65,141,65
E01011494,541,72,115,54
E01011496,606,21,53,9
E01011497,671,83,139,94
E01011499,1053,51,115,45
E01011500,689,110,67,18
E01011502,595,92,97,35
E01011504,749,111,117,41
E01011505,658,99,68,26
E01011506,513,50,37,16
E01011507,660,85,49,12
E01011508,463,36,27,6
E01011509,637,158,36,5
E01011510,865,223,104,36
E01011511,529,116,29,10
E01011512,654,77,55,11
E01011513,936,70,85,13
E01011514,632,63,46,7
E01011515,652,79,40,9
E01011516,644,62,56,4
E01011517,731,66,86,25
E01011518,957,77,102,22
E01011519,648,86,83,36
E01011520,654,81,42,8
E01011521,908,107,69,19
E01011522,589,50,50,4
E01011523,771,137,70,25
E01011524,540,52,45,7
E01011525,702,57,57,17
E01011526,489,22,32,5
E01011527,772,74,65,13
E01011528,622,49,47,8
E01011529,580,65,84,33
E01011530,651,62,44,5
E01011531,676,131,43,6
E01011532,710,129,105,29
E01011533,687,102,63,21
E01011534,684,92,61,21
E01011535,658,64,53,11
E01011536,660,77,56,14
E01011537,947,138,76,20
E01011538,662,107,87,30
E01011540,641,87,97,38
E01011541,1010,234,57,19
E01011545,651,78,62,23
E01011546,743,69,84,30
E01011547,834,113,104,25
E01011548,639,90,57,16
E01011549,512,9,40,5
E01011550,552,50,54,6
E01011551,647,27,76,23
E01011552,575,71,90,34
E01011553,615,50,64,13
E01011554,603,76,49,11
E01011555,561,48,39,13
E01011556,759,105,65,18
E01011557,646,108,29,7
E01011558,722,99,147,58
E01011559,568,105,118,45
E01011560,883,133,149,68
E01011561,533,72,38,11
E01011562,628,87,40,9
E01011563,618,99,27,7
E01011564,605,75,39,7
E01011565,592,90,50,9
E01011566,569,76,60,16
E01011567,562,69,40,4
E01011568,861,133,52,8
E01011569,804,107,55,13
E01011570,959,122,56,13
E01011571,758,137,58,11
E01011572,816,96,63,10
E01011573,536,62,50,5
E01011574,711,175,39,6
E01011576,594,86,20,8
E01011578,625,107,50,6
E01011579,493,51,53,10
E01011580,603,104,30,4
E01011581,626,88,66,14
E01011582,752,171,87,32
E01011583,601,74,73,16
E01011584,555,104,53,13
E01011585,650,106,88,26
E01011586,597,89,55,18
E01011587,757,62,74,7
E01011588,691,62,71,18
E01011589,699,89,41,6
E01011590,639,61,47,8
E01011591,810,57,47,7
E01011592,719,111,31,7
E01011593,789,70,58,5
E01011594,605,106,101,26
E01011595,639,83,33,15
E01011596,759,71,51,10
E01011597,557,67,67,30
E01011598,734,67,58,10
E01011599,647,102,54,12
E01011600,671,88,49,7
E01011601,624,59,75,32
E01011602,743,168,45,9
E01011603,658,92,54,12
E01011604,601,77,43,10
E01011605,636,97,49,3
E01011606,642,73,78,28
E01011607,685,59,91,20
E01011608,583,77,73,28
E01011609,668,77,75,41
E01011610,616,76,40,7
E01011611,603,83,113,46
E01011612,687,199,42,14
E01011613,549,57,81,31
E01011614,807,78,64,16
E01011615,639,68,95,31
E01011616,680,97,113,61
E01011617,679,71,164,73
E01011618,725,68,142,76
E01011620,490,45,117,71
E01011621,588,61,116,57
E01011622,657,49,188,111
E01011623,703,55,145,96
E01011624,714,109,164,102
E01011625,698,47,114,75
E01011626,949,105,125,77
E01011627,592,100,81,31
E01011628,597,109,45,5
E01011629,605,94,79,19
E01011630,886,67,96,18
E01011632,605,105,107,49
E01011633,622,84,44,10
E01011634,664,91,69,29
E01011635,705,97,65,15
E01011636,722,111,54,9
E01011637,735,50,79,21
E01011638,617,82,49,10
E01011639,645,96,95,38
E01011641,618,68,34,9
E01011642,487,48,54,9
E01011643,594,109,40,7
E01011644,542,78,54,16
E01011645,608,73,41,17
E01011646,644,75,72,17
E01011647,498,40,57,34
E01011648,566,58,68,18
E01011649,647,90,37,6
E01011650,594,68,27,10
E01011651,637,62,73,22
E01011652,501,40,44,8
E01011653,606,96,38,10
E01011654,530,52,30,8
E01011655,703,146,30,7
E01011656,597,56,146,72
E01011657,602,69,106,46
E01011658,631,135,152,83
E01011659,648,88,91,33
E01011660,588,94,99,47
E01011661,852,208,106,42
E01011662,496,33,119,65
E01011663,430,26,120,87
E01011664,477,83,90,44
E01011665,626,68,89,36
E01011666,594,77,55,8
E01011667,511,46,189,149
E01011668,517,14,42,19
E01011669,518,15,33,22
E01011670,916,100,123,83
E01011671,644,48,176,84
E01011673,810,65,120,93
E01011677,786,96,112,63
E01011678,663,58,27,13
E01011681,673,26,80,53
E01011684,638,85,57,17
E01011685,777,69,28,6
E01011686,810,148,122,50
E01011687,574,62,45,10
E01011688,608,35,77,37
E01011689,765,132,50,19
E01011690,661,124,23,2
E01011691,645,84,112,44
E01011692,666,62,32,6
E01011693,725,47,35,17
E01011694,615,59,23,8
E01011695,704,96,152,69
E01011696,656,126,32,7
E01011697,558,78,50,9
E01011698,634,74,65,9
E01011699,583,71,33,8
E01011700,500,89,29,2
E01011701,529,73,48,5
E01011702,483,58,22,6
E01011703,556,81,13,2
E01011704,985,281,71,12
E01011705,636,144,90,28
E01011706,616,75,31,5
E01011707,616,136,39,8
E01011708,612,72,42,8
E01011709,660,110,24,6
E01011710,638,99,43,8
E01011711,656,136,42,5
E01011712,586,68,47,9
E01011713,737,66,43,16
E01011714,605,81,68,17
E01011715,527,65,43,5
E01011716,607,73,45,14
E01011717,655,109,102,27
E01011718,601,66,94,25
E01011719,628,103,50,5
E01011720,691,130,87,36
E01011721,621,78,130,53
E01011722,812,108,133,50
E01011723,617,133,138,54
E01011724,830,110,153,61
E01011725,699,79,146,88
E01011726,634,62,110,49
E01011727,674,55,69,21
E01011728,626,100,50,16
E01011729,741,78,92,44
E01011730,657,51,133,67
E01011731,609,88,53,14
E01011732,777,93,69,17
E01011733,691,113,55,11
E01011734,1011,81,91,32
E01011735,738,109,130,74
E01011736,648,66,61,14
E01011737,760,95,125,68
E01011738,632,72,50,12
E01011739,699,66,106,46
E01032487,448,97,73,28
E01032488,735,91,55,13
E01032489,894,73,82,25
E01032490,570,23,45,9
E01032491,489,20,43,7
E01032492,997,89,158,65
E01032493,619,68,41,9
E01032494,716,72,153,67
E01032495,922,44,123,60
E01032496,878,74,87,16
E01032497,640,60,143,84
E01032498,697,112,70,24
E01032499,702,76,42,9
E01032500,568,55,55,33
E01032501,498,62,39,8
E01032502,801,77,158,85
E01032503,600,73,37,6
E01032504,673,136,32,6
E01032606,906,87,122,41
E01032607,547,84,50,25
E01032608,500,40,50,20
E01032876,533,39,24,5
E01032945,848,34,17,5
E01032946,778,128,20,8
E01033002,761,102,43,58
E01033003,1109,35,56,40
E01033005,876,50,80,71
E01033006,1016,19,36,32
E01033008,704,4,6,3
E01033010,690,3,2,2
E01033011,761,12,8,2
E01033013,647,63,50,31
E01033015,705,4,7,2
E01033016,709,5,2,0
E01033018,729,1,7,7
E01033019,766,3,10,6
E01033021,697,124,80,30
E01033031,782,59,32,21
E01033032,789,37,31,17
E01033033,740,43,29,12
E01033034,645,10,3,3
E01033035,752,29,81,79
